size;malloc;calloc;realloc
1;0;0;0
100001;0;4;0
200001;1;5;0
300001;0;7;0
400001;0;8;0
500001;0;32;0
600001;2;11;0
700001;0;13;0
800001;1;15;0
900001;0;16;0
1000001;1;18;0
1100001;0;26;0
1200001;1;23;0
1300001;0;25;0
1400001;1;31;0
1500001;0;31;0
1600001;1;37;0
1700001;0;97;0
1800001;1;57;0
1900001;0;46;0
2000001;2;56;0
2100001;0;52;0
2200001;1;56;0
2300001;0;58;0
2400001;0;62;0
2500001;0;63;0
2600001;0;137;0
2700001;0;115;0
2800001;3;77;0
2900001;0;142;0
3000001;3;109;0
3100001;1;79;0
3200001;2;82;0
3300001;0;83;0
3400001;1;131;0
3500001;0;114;0
3600001;2;119;0
3700001;0;471;0
3800001;6;636;0
3900001;2;185;0
4000001;5;142;0
4100001;0;138;0
4200001;3;146;0
4300001;0;479;0
4400001;7;829;0
4500001;1;151;0
4600001;4;153;0
4700001;0;175;0
4800001;10;165;0
4900001;0;160;0
5000001;3;301;0
5100001;2;149;0
5200001;4;221;0
5300001;1;181;0
5400001;3;191;0
5500001;0;433;0
5600001;5;377;0
5700001;1;351;0
5800001;4;224;0
5900001;0;167;0
6000001;3;280;0
6100001;1;1202;0
6200001;8;300;0
6300001;0;198;0
6400001;14;354;0
6500001;1;301;0
6600001;5;315;0
6700001;1;291;0
6800001;4;611;0
6900001;5;689;0
7000001;7;406;0
7100001;1;429;0
7200001;4;276;0
7300001;1;263;0
7400001;4;206;0
7500001;0;239;0
7600001;4;328;0
7700001;6;433;0
7800001;5;477;0
7900001;1;349;0
8000001;5;329;0
8100001;1;765;0
8200001;6;455;0
8300001;3;431;0
8400001;5;621;0
8500001;2;668;0
8600001;6;669;0
8700001;1;1137;0
8800001;8;2707;0
8900001;1;965;0
9000001;5;614;0
9100001;1;318;0
9200001;4;312;0
9300001;1;275;0
9400001;3;342;0
9500001;1;287;0
9600001;21;284;0
9700001;0;373;0
9800001;5;301;0
9900001;0;322;0
10000001;3;375;0
10100001;1;348;0
10200001;4;339;0
10300001;0;426;0
10400001;4;359;0
10500001;1;415;0
10600001;4;395;0
10700001;1;369;0
10800001;4;432;0
10900001;1;410;0
11000001;4;410;0
11100001;1;427;0
11200001;5;426;0
11300001;3;474;0
11400001;4;429;0
11500001;1;520;0
11600001;4;472;0
11700001;2;565;0
11800001;4;758;0
11900001;2;881;0
12000001;7;1957;0
12100001;2;2840;0
12200001;7;2609;0
12300001;2;1554;0
12400001;7;1968;0
12500001;2;1238;0
